ID,Name,HP,Attack,Defense,Special Attack,Special Defense,Speed,Total,Average
1,Bulbasaur,45,49,49,65,65,45,318,53
2,Ivysaur,60,62,63,80,80,60,405,67.5
3,Venusaur,80,82,83,100,100,80,525,87.5
4,Charmander,39,52,43,60,50,65,309,51.5
5,Charmeleon,58,64,58,80,65,80,405,67.5
6,Charizard,78,84,78,109,85,100,534,89
7,Squirtle,44,48,65,50,64,43,314,52.33
8,Wartortle,59,63,80,65,80,58,405,67.5
9,Blastoise,79,83,100,85,105,78,530,88.33
10,Caterpie,45,30,35,20,20,45,195,32.5
11,Metapod,50,20,55,25,25,30,205,34.17
12,Butterfree,60,45,50,80,80,70,385,64.17
13,Weedle,40,35,30,20,20,50,195,32.5
14,Kakuna,45,25,50,25,25,35,205,34.17
15,Beedrill,65,80,40,45,80,75,385,64.17
16,Pidgey,40,45,40,35,35,56,251,41.83
17,Pidgeotto,63,60,55,50,50,71,349,58.17
18,Pidgeot,83,80,75,70,70,91,469,78.17
19,Rattata,30,56,35,25,35,72,253,42.17
20,Raticate,55,81,60,50,70,97,413,68.83
21,Spearow,40,60,30,31,31,70,262,43.67
22,Fearow,65,90,65,61,61,100,442,73.67
23,Ekans,35,60,44,40,54,55,288,48
24,Arbok,60,85,69,65,79,80,438,73
25,Pikachu,35,55,30,50,40,90,300,50
26,Raichu,60,90,55,90,80,100,475,79.17
27,Sandshrew,50,75,85,20,30,40,300,50
28,Sandslash,75,100,110,45,55,65,450,75
29,NidoranF,55,47,52,40,40,41,275,45.83
30,Nidorina,70,62,67,55,55,56,365,60.83
31,Nidoqueen,90,82,87,75,85,76,495,82.5
32,NidoranM,46,57,40,40,40,50,273,45.5
33,Nidorino,61,72,57,55,55,65,365,60.83
34,Nidoking,81,92,77,85,75,85,495,82.5
35,Clefairy,70,45,48,60,65,35,323,53.83
36,Clefable,95,70,73,85,90,60,473,78.83
37,Vulpix,38,41,40,50,65,65,299,49.83
38,Ninetales,73,76,75,81,100,100,505,84.17
39,Jigglypuff,115,45,20,45,25,20,270,45
40,Wigglytuff,140,70,45,75,50,45,425,70.83
41,Zubat,40,45,35,30,40,55,245,40.83
42,Golbat,75,80,70,65,75,90,455,75.83
43,Oddish,45,50,55,75,65,30,320,53.33
44,Gloom,60,65,70,85,75,40,395,65.83
45,Vileplume,75,80,85,100,90,50,480,80
46,Paras,35,70,55,45,55,25,285,47.5
47,Parasect,60,95,80,60,80,30,405,67.5
48,Venonat,60,55,50,40,55,45,305,50.83
49,Venomoth,70,65,60,90,75,90,450,75
50,Diglett,10,55,25,35,45,95,265,44.17
51,Dugtrio,35,80,50,50,70,120,405,67.5
52,Meowth,40,45,35,40,40,90,290,48.33
53,Persian,65,70,60,65,65,115,440,73.33
54,Psyduck,50,52,48,65,50,55,320,53.33
55,Golduck,80,82,78,95,80,85,500,83.33
56,Mankey,40,80,35,35,45,70,305,50.83
57,Primeape,65,105,60,60,70,95,455,75.83
58,Growlithe,55,70,45,70,50,60,350,58.33
59,Arcanine,90,110,80,100,80,95,555,92.5
60,Poliwag,40,50,40,40,40,90,300,50
61,Poliwhirl,65,65,65,50,50,90,385,64.17
62,Poliwrath,90,85,95,70,90,70,500,83.33
63,Abra,25,20,15,105,55,90,310,51.67
64,Kadabra,40,35,30,120,70,105,400,66.67
65,Alakazam,55,50,45,135,85,120,490,81.67
66,Machop,70,80,50,35,35,35,305,50.83
67,Machoke,80,100,70,50,60,45,405,67.5
68,Machamp,90,130,80,65,85,55,505,84.17
69,Bellsprout,50,75,35,70,30,40,300,50
