Entry,Species,Instance,Nature,Item,Move 1,Move 2,Move 3,Move 4,Possible Ability,EVs (HP/Atk/Def/SpA/SpD/Spe),Level 100 stats,Lv 100 speed,Level 50 stats,Lv 50 Speed,Fixed IVs (Brains only)
1,Sunkern,1,Relaxed,Lax Incense,Mega Drain,Helping Hand,Sunny Day,Light Screen,Chlorophyll,255/ 0 / 0 /255/ 0 / 0 ,264/96/105/159/96/86,86,137/50/55/82/50/45,45,
2,Azurill,1,Rash,Cheri Berry,Water Pulse,Attract,Sing,Charm,Thick Fat / Huge Power,255/ 0 / 0 /255/ 0 / 0 ,304/76/116/152/104/76,76,157/40/60/79/54/40,40,
3,Caterpie,1,Quirky,Focus Band,Tackle,String Shot,---,---,Shield Dust,255/255/ 0 / 0 / 0 / 0 ,294/159/106/76/76/126,126,152/82/55/40/40/65,65,
4,Weedle,1,Quirky,Focus Band,Poison Sting,String Shot,---,---,Shield Dust,255/255/ 0 / 0 / 0 / 0 ,284/169/96/76/76/136,136,147/87/50/40/40/70,70,
5,Wurmple,1,Quirky,Lax Incense,Tackle,String Shot,Poison Sting,---,Shield Dust,255/255/ 0 / 0 / 0 / 0 ,294/189/106/76/96/76,76,152/97/55/40/50/40,40,
6,Ralts,1,Docile,TwistedSpoon,Confusion,Imprison,Double Team,Light Screen,Synchronize / Trace,255/ 0 / 0 /255/ 0 / 0 ,260/86/86/189/106/116,116,135/45/45/97/55/60,60,
7,Magikarp,1,Hardy,Focus Band,Flail,---,---,---,Swift Swim,255/255/ 0 / 0 / 0 / 0 ,244/119/146/66/76/196,196,127/62/75/35/40/100,100,
8,Feebas,1,Lonely,Focus Band,Flail,Mirror Coat,---,---,Swift Swim,255/255/ 0 / 0 / 0 / 0 ,244/141/68/56/146/196,196,127/73/36/30/75/100,100,
9,Metapod,1,Bashful,Lax Incense,Harden,---,---,---,Shed Skin,255/ 0 / 0 / 0 /255/ 0 ,304/76/146/86/149/96,96,157/40/75/45/77/50,50,
10,Kakuna,1,Bashful,Lax Incense,Harden,---,---,---,Shed Skin,255/ 0 / 0 / 0 /255/ 0 ,294/86/136/86/149/106,106,152/45/70/45/77/55,55,
11,Pichu,1,Rash,Sitrus Berry,Sweet Kiss,Thunder Wave,Attract,Shock Wave,Static,255/ 0 / 0 /255/ 0 / 0 ,244/116/66/185/95/156,156,127/60/35/95/49/80,80,
12,Silcoon,1,Bashful,Lax Incense,Harden,---,---,---,Shed Skin,255/ 0 / 0 / 0 /255/ 0 ,304/106/146/86/149/66,66,157/55/75/45/77/35,35,
13,Cascoon,1,Bashful,Lax Incense,Harden,---,---,---,Shed Skin,255/ 0 / 0 / 0 /255/ 0 ,304/106/146/86/149/66,66,157/55/75/45/77/35,35,
14,Igglybuff,1,Docile,Focus Band,Sweet Kiss,Sing,Attract,Seismic Toss,Cute Charm,255/255/ 0 / 0 / 0 / 0 ,384/159/66/116/76/66,66,197/82/35/60/40/35,35,
