Name,Class,IVs,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADY  ,Youngster,3,Sunkern 1,Azurill 1,Caterpie 1,Weedle 1,Wurmple 1,Ralts 1,Magikarp 1,Feebas 1,Pichu 1,Igglybuff 1,Wooper 1,Tyrogue 1,Sentret 1,Cleffa 1,Seedot 1,Lotad 1,Poochyena 1,Shedinja 1,Makuhita 1,Whismur 1,Zigzagoon 1,Zubat 1,Togepi 1,Spinarak 1,Marill 1,Hoppip 1,Slugma 1,Swinub 1,Smeargle 1,Pidgey 1,Rattata 1,Wynaut 1,Skitty 1,Spearow 1,Hoothoot 1,Diglett 1,Ledyba 1,Nincada 1,Surskit 1,Jigglypuff 1,Taillow 1,Wingull 1,NidoranM 1,NidoranF 1,Kirlia 1,Mareep 1,Meditite 1,Slakoth 1,Paras 1,Ekans 1,Ditto 1,Barboach 1,Meowth 1,Pineco 1,Trapinch 1,Spheal 1,Horsea 1,Shroomish 1,Shuppet 1,Duskull 1,Electrike 1,Vulpix 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CONNER ,Youngster,3,Sunkern 1,Azurill 1,Caterpie 1,Weedle 1,Wurmple 1,Ralts 1,Magikarp 1,Feebas 1,Pichu 1,Igglybuff 1,Wooper 1,Tyrogue 1,Sentret 1,Cleffa 1,Seedot 1,Lotad 1,Poochyena 1,Shedinja 1,Makuhita 1,Whismur 1,Zigzagoon 1,Zubat 1,Togepi 1,Spinarak 1,Marill 1,Hoppip 1,Slugma 1,Swinub 1,Smeargle 1,Pidgey 1,Rattata 1,Wynaut 1,Skitty 1,Spearow 1,Hoothoot 1,Diglett 1,Ledyba 1,Nincada 1,Surskit 1,Jigglypuff 1,Taillow 1,Wingull 1,NidoranM 1,NidoranF 1,Kirlia 1,Mareep 1,Meditite 1,Slakoth 1,Paras 1,Ekans 1,Ditto 1,Barboach 1,Meowth 1,Pineco 1,Trapinch 1,Spheal 1,Horsea 1,Shroomish 1,Shuppet 1,Duskull 1,Electrike 1,Vulpix 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BRADLEY,Youngster,3,Sunkern 1,Azurill 1,Caterpie 1,Weedle 1,Wurmple 1,Ralts 1,Magikarp 1,Feebas 1,Pichu 1,Igglybuff 1,Wooper 1,Tyrogue 1,Sentret 1,Cleffa 1,Seedot 1,Lotad 1,Poochyena 1,Shedinja 1,Makuhita 1,Whismur 1,Zigzagoon 1,Zubat 1,Togepi 1,Spinarak 1,Marill 1,Hoppip 1,Slugma 1,Swinub 1,Smeargle 1,Pidgey 1,Rattata 1,Wynaut 1,Skitty 1,Spearow 1,Hoothoot 1,Diglett 1,Ledyba 1,Nincada 1,Surskit 1,Jigglypuff 1,Taillow 1,Wingull 1,NidoranM 1,NidoranF 1,Kirlia 1,Mareep 1,Meditite 1,Slakoth 1,Paras 1,Ekans 1,Ditto 1,Barboach 1,Meowth 1,Pineco 1,Trapinch 1,Spheal 1,Horsea 1,Shroomish 1,Shuppet 1,Duskull 1,Electrike 1,Vulpix 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CYBIL  ,Lass,3,Sunkern 1,Azurill 1,Caterpie 1,Weedle 1,Wurmple 1,Ralts 1,Magikarp 1,Feebas 1,Pichu 1,Igglybuff 1,Wooper 1,Tyrogue 1,Sentret 1,Cleffa 1,Seedot 1,Lotad 1,Poochyena 1,Shedinja 1,Makuhita 1,Whismur 1,Zigzagoon 1,Zubat 1,Togepi 1,Spinarak 1,Marill 1,Hoppip 1,Slugma 1,Swinub 1,Smeargle 1,Pidgey 1,Rattata 1,Wynaut 1,Skitty 1,Spearow 1,Hoothoot 1,Diglett 1,Ledyba 1,Nincada 1,Surskit 1,Jigglypuff 1,Taillow 1,Wingull 1,NidoranM 1,NidoranF 1,Kirlia 1,Mareep 1,Meditite 1,Slakoth 1,Paras 1,Ekans 1,Ditto 1,Barboach 1,Meowth 1,Pineco 1,Trapinch 1,Spheal 1,Horsea 1,Shroomish 1,Shuppet 1,Duskull 1,Electrike 1,Vulpix 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RODETTE,Lass,3,Sunkern 1,Azurill 1,Caterpie 1,Weedle 1,Wurmple 1,Ralts 1,Magikarp 1,Feebas 1,Pichu 1,Igglybuff 1,Wooper 1,Tyrogue 1,Sentret 1,Cleffa 1,Seedot 1,Lotad 1,Poochyena 1,Shedinja 1,Makuhita 1,Whismur 1,Zigzagoon 1,Zubat 1,Togepi 1,Spinarak 1,Marill 1,Hoppip 1,Slugma 1,Swinub 1,Smeargle 1,Pidgey 1,Rattata 1,Wynaut 1,Skitty 1,Spearow 1,Hoothoot 1,Diglett 1,Ledyba 1,Nincada 1,Surskit 1,Jigglypuff 1,Taillow 1,Wingull 1,NidoranM 1,NidoranF 1,Kirlia 1,Mareep 1,Meditite 1,Slakoth 1,Paras 1,Ekans 1,Ditto 1,Barboach 1,Meowth 1,Pineco 1,Trapinch 1,Spheal 1,Horsea 1,Shroomish 1,Shuppet 1,Duskull 1,Electrike 1,Vulpix 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PEGGY  ,Lass,3,Sunkern 1,Azurill 1,Caterpie 1,Weedle 1,Wurmple 1,Ralts 1,Magikarp 1,Feebas 1,Pichu 1,Igglybuff 1,Wooper 1,Tyrogue 1,Sentret 1,Cleffa 1,Seedot 1,Lotad 1,Poochyena 1,Shedinja 1,Makuhita 1,Whismur 1,Zigzagoon 1,Zubat 1,Togepi 1,Spinarak 1,Marill 1,Hoppip 1,Slugma 1,Swinub 1,Smeargle 1,Pidgey 1,Rattata 1,Wynaut 1,Skitty 1,Spearow 1,Hoothoot 1,Diglett 1,Ledyba 1,Nincada 1,Surskit 1,Jigglypuff 1,Taillow 1,Wingull 1,NidoranM 1,NidoranF 1,Kirlia 1,Mareep 1,Meditite 1,Slakoth 1,Paras 1,Ekans 1,Ditto 1,Barboach 1,Meowth 1,Pineco 1,Trapinch 1,Spheal 1,Horsea 1,Shroomish 1,Shuppet 1,Duskull 1,Electrike 1,Vulpix 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
KEITH  ,School Kid (M),3,Pikachu 1,Sandshrew 1,Poliwag 1,Bellsprout 1,Geodude 1,Dratini 1,Snubbull 1,Remoraid 1,Larvitar 1,Baltoy 1,Snorunt 1,Bagon 1,Beldum 1,Gulpin 1,Venonat 1,Mankey 1,Machop 1,Shellder 1,Smoochum 1,Numel 1,Carvanha 1,Corphish 1,Charmander 1,Cyndaquil 1,Abra 1,Doduo 1,Gastly 1,Swablu 1,Treecko 1,Torchic 1,Mudkip 1,Squirtle 1,Totodile 1,Slowpoke 1,Bulbasaur 1,Chikorita 1,Oddish 1,Psyduck 1,Cubone 1,Goldeen 1,Natu 1,Clefairy 1,Magnemite 1,Seel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GRAYSON,School Kid (M),3,Pikachu 1,Sandshrew 1,Poliwag 1,Bellsprout 1,Geodude 1,Dratini 1,Snubbull 1,Remoraid 1,Larvitar 1,Baltoy 1,Snorunt 1,Bagon 1,Beldum 1,Gulpin 1,Venonat 1,Mankey 1,Machop 1,Shellder 1,Smoochum 1,Numel 1,Carvanha 1,Corphish 1,Charmander 1,Cyndaquil 1,Abra 1,Doduo 1,Gastly 1,Swablu 1,Treecko 1,Torchic 1,Mudkip 1,Squirtle 1,Totodile 1,Slowpoke 1,Bulbasaur 1,Chikorita 1,Oddish 1,Psyduck 1,Cubone 1,Goldeen 1,Natu 1,Clefairy 1,Magnemite 1,Seel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GLENN  ,School Kid (M),3,Pikachu 1,Sandshrew 1,Poliwag 1,Bellsprout 1,Geodude 1,Dratini 1,Snubbull 1,Remoraid 1,Larvitar 1,Baltoy 1,Snorunt 1,Bagon 1,Beldum 1,Gulpin 1,Venonat 1,Mankey 1,Machop 1,Shellder 1,Smoochum 1,Numel 1,Carvanha 1,Corphish 1,Charmander 1,Cyndaquil 1,Abra 1,Doduo 1,Gastly 1,Swablu 1,Treecko 1,Torchic 1,Mudkip 1,Squirtle 1,Totodile 1,Slowpoke 1,Bulbasaur 1,Chikorita 1,Oddish 1,Psyduck 1,Cubone 1,Goldeen 1,Natu 1,Clefairy 1,Magnemite 1,Seel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LILIANA,School Kid (F),3,Pikachu 1,Sandshrew 1,Poliwag 1,Bellsprout 1,Geodude 1,Dratini 1,Snubbull 1,Remoraid 1,Larvitar 1,Baltoy 1,Snorunt 1,Bagon 1,Beldum 1,Gulpin 1,Venonat 1,Mankey 1,Machop 1,Shellder 1,Smoochum 1,Numel 1,Carvanha 1,Corphish 1,Charmander 1,Cyndaquil 1,Abra 1,Doduo 1,Gastly 1,Swablu 1,Treecko 1,Torchic 1,Mudkip 1,Squirtle 1,Totodile 1,Slowpoke 1,Bulbasaur 1,Chikorita 1,Oddish 1,Psyduck 1,Cubone 1,Goldeen 1,Natu 1,Clefairy 1,Magnemite 1,Seel 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
